Emotions,Path
sad,archive-2/audio_speech_actors_01-24/Actor_03/03-01-04-02-02-02-03.wav
disgust,archive-2/audio_speech_actors_01-24/Actor_03/03-01-07-02-02-01-03.wav
disgust,archive-2/audio_speech_actors_01-24/Actor_03/03-01-07-01-01-01-03.wav
sad,archive-2/audio_speech_actors_01-24/Actor_03/03-01-04-01-01-02-03.wav
fear,archive-2/audio_speech_actors_01-24/Actor_03/03-01-06-02-01-02-03.wav
angry,archive-2/audio_speech_actors_01-24/Actor_03/03-01-05-02-01-01-03.wav
angry,archive-2/audio_speech_actors_01-24/Actor_03/03-01-05-01-02-01-03.wav
fear,archive-2/audio_speech_actors_01-24/Actor_03/03-01-06-01-02-02-03.wav
surprise,archive-2/audio_speech_actors_01-24/Actor_03/03-01-08-01-01-01-03.wav
surprise,archive-2/audio_speech_actors_01-24/Actor_03/03-01-08-02-02-01-03.wav
neutral,archive-2/audio_speech_actors_01-24/Actor_03/03-01-01-01-02-02-03.wav
calm,archive-2/audio_speech_actors_01-24/Actor_03/03-01-02-01-02-01-03.wav
calm,archive-2/audio_speech_actors_01-24/Actor_03/03-01-02-02-01-01-03.wav
happy,archive-2/audio_speech_actors_01-24/Actor_03/03-01-03-01-01-02-03.wav
happy,archive-2/audio_speech_actors_01-24/Actor_03/03-01-03-02-02-02-03.wav
calm,archive-2/audio_speech_actors_01-24/Actor_03/03-01-02-01-01-02-03.wav
neutral,archive-2/audio_speech_actors_01-24/Actor_03/03-01-01-01-01-01-03.wav
calm,archive-2/audio_speech_actors_01-24/Actor_03/03-01-02-02-02-02-03.wav
happy,archive-2/audio_speech_actors_01-24/Actor_03/03-01-03-01-02-01-03.wav
happy,archive-2/audio_speech_actors_01-24/Actor_03/03-01-03-02-01-01-03.wav
disgust,archive-2/audio_speech_actors_01-24/Actor_03/03-01-07-02-01-02-03.wav
sad,archive-2/audio_speech_actors_01-24/Actor_03/03-01-04-02-01-01-03.wav
sad,archive-2/audio_speech_actors_01-24/Actor_03/03-01-04-01-02-01-03.wav
disgust,archive-2/audio_speech_actors_01-24/Actor_03/03-01-07-01-02-02-03.wav
angry,archive-2/audio_speech_actors_01-24/Actor_03/03-01-05-02-02-02-03.wav
fear,archive-2/audio_speech_actors_01-24/Actor_03/03-01-06-02-02-01-03.wav
fear,archive-2/audio_speech_actors_01-24/Actor_03/03-01-06-01-01-01-03.wav
angry,archive-2/audio_speech_actors_01-24/Actor_03/03-01-05-01-01-02-03.wav
surprise,archive-2/audio_speech_actors_01-24/Actor_03/03-01-08-01-02-02-03.wav
surprise,archive-2/audio_speech_actors_01-24/Actor_03/03-01-08-02-01-02-03.wav
happy,archive-2/audio_speech_actors_01-24/Actor_03/03-01-03-02-02-01-03.wav
happy,archive-2/audio_speech_actors_01-24/Actor_03/03-01-03-01-01-01-03.wav
calm,archive-2/audio_speech_actors_01-24/Actor_03/03-01-02-02-01-02-03.wav
calm,archive-2/audio_speech_actors_01-24/Actor_03/03-01-02-01-02-02-03.wav
neutral,archive-2/audio_speech_actors_01-24/Actor_03/03-01-01-01-02-01-03.wav
fear,archive-2/audio_speech_actors_01-24/Actor_03/03-01-06-01-02-01-03.wav
angry,archive-2/audio_speech_actors_01-24/Actor_03/03-01-05-01-02-02-03.wav
angry,archive-2/audio_speech_actors_01-24/Actor_03/03-01-05-02-01-02-03.wav
fear,archive-2/audio_speech_actors_01-24/Actor_03/03-01-06-02-01-01-03.wav
sad,archive-2/audio_speech_actors_01-24/Actor_03/03-01-04-01-01-01-03.wav
disgust,archive-2/audio_speech_actors_01-24/Actor_03/03-01-07-01-01-02-03.wav
disgust,archive-2/audio_speech_actors_01-24/Actor_03/03-01-07-02-02-02-03.wav
sad,archive-2/audio_speech_actors_01-24/Actor_03/03-01-04-02-02-01-03.wav
surprise,archive-2/audio_speech_actors_01-24/Actor_03/03-01-08-02-02-02-03.wav
surprise,archive-2/audio_speech_actors_01-24/Actor_03/03-01-08-01-01-02-03.wav
angry,archive-2/audio_speech_actors_01-24/Actor_03/03-01-05-01-01-01-03.wav
fear,archive-2/audio_speech_actors_01-24/Actor_03/03-01-06-01-01-02-03.wav
fear,archive-2/audio_speech_actors_01-24/Actor_03/03-01-06-02-02-02-03.wav
angry,archive-2/audio_speech_actors_01-24/Actor_03/03-01-05-02-02-01-03.wav
disgust,archive-2/audio_speech_actors_01-24/Actor_03/03-01-07-01-02-01-03.wav
sad,archive-2/audio_speech_actors_01-24/Actor_03/03-01-04-01-02-02-03.wav
sad,archive-2/audio_speech_actors_01-24/Actor_03/03-01-04-02-01-02-03.wav
disgust,archive-2/audio_speech_actors_01-24/Actor_03/03-01-07-02-01-01-03.wav
surprise,archive-2/audio_speech_actors_01-24/Actor_03/03-01-08-02-01-01-03.wav
surprise,archive-2/audio_speech_actors_01-24/Actor_03/03-01-08-01-02-01-03.wav
happy,archive-2/audio_speech_actors_01-24/Actor_03/03-01-03-02-01-02-03.wav
happy,archive-2/audio_speech_actors_01-24/Actor_03/03-01-03-01-02-02-03.wav
calm,archive-2/audio_speech_actors_01-24/Actor_03/03-01-02-02-02-01-03.wav
neutral,archive-2/audio_speech_actors_01-24/Actor_03/03-01-01-01-01-02-03.wav
calm,archive-2/audio_speech_actors_01-24/Actor_03/03-01-02-01-01-01-03.wav
fear,archive-2/audio_speech_actors_01-24/Actor_02/03-01-06-01-02-02-02.wav
angry,archive-2/audio_speech_actors_01-24/Actor_02/03-01-05-01-02-01-02.wav
angry,archive-2/audio_speech_actors_01-24/Actor_02/03-01-05-02-01-01-02.wav
fear,archive-2/audio_speech_actors_01-24/Actor_02/03-01-06-02-01-02-02.wav
sad,archive-2/audio_speech_actors_01-24/Actor_02/03-01-04-01-01-02-02.wav
disgust,archive-2/audio_speech_actors_01-24/Actor_02/03-01-07-01-01-01-02.wav
disgust,archive-2/audio_speech_actors_01-24/Actor_02/03-01-07-02-02-01-02.wav
sad,archive-2/audio_speech_actors_01-24/Actor_02/03-01-04-02-02-02-02.wav
surprise,archive-2/audio_speech_actors_01-24/Actor_02/03-01-08-02-02-01-02.wav
surprise,archive-2/audio_speech_actors_01-24/Actor_02/03-01-08-01-01-01-02.wav
happy,archive-2/audio_speech_actors_01-24/Actor_02/03-01-03-02-02-02-02.wav
happy,archive-2/audio_speech_actors_01-24/Actor_02/03-01-03-01-01-02-02.wav
calm,archive-2/audio_speech_actors_01-24/Actor_02/03-01-02-02-01-01-02.wav
calm,archive-2/audio_speech_actors_01-24/Actor_02/03-01-02-01-02-01-02.wav
neutral,archive-2/audio_speech_actors_01-24/Actor_02/03-01-01-01-02-02-02.wav
happy,archive-2/audio_speech_actors_01-24/Actor_02/03-01-03-02-01-01-02.wav
happy,archive-2/audio_speech_actors_01-24/Actor_02/03-01-03-01-02-01-02.wav
